field,value
verdict,NET LOSER from inflation
net_inflation_position_annual,-14.19466095601443
depreciation_penalty_annual,22.96620480779843
interest_benefit_annual,8.771543851784001
tax_rate,0.203077
expected_inflation,0.021532
inflation_series,breakeven_fwd1y
rd_nominal,0.0667178039443721
net_debt,2006
nominal_interest,50
econ_depreciation,880.7093205105496
reported_ppe_depreciation,767.6182033096926
depreciation_shortfall,113.09111720085696
avg_asset_age_yrs,8.261642793515339
debt_to_annual_da,2.6132783086055698
breakeven_leverage,8.93739324443705
interest_tax_shield_pv_fixed_nominal,152.19101049048416
interest_tax_shield_pv_constant_real,224.71327526893904
interest_tax_shield_pv_adopted,224.71327526893904
debt_policy,constant_real
shield_treatment,excluded from headline (Miller 1977); disclosure only
verdict_basis,"net_inflation_position (t*pi*net_debt vs t*shortfall), using the engine's BEA capital-goods deflator for PP&E and the TIPS-breakeven inflation the valuation itself is discounted on (see inflation_series); the breakeven_leverage column is v1.4's general-CPI rule of thumb and can differ when capital-goods prices diverge from general inflation"
